tamanho;valor;tempo
50;233;0.000879
100;457;0.003214
150;651;0.006518
200;971;0.014410
250;1015;0.018882
300;1289;0.027497
350;1478;0.038559
400;1948;0.058220
450;1814;0.059851
500;2153;0.079958
550;2647;0.108494
600;2930;0.135205
650;3000;0.144802
700;3161;0.178898
750;3025;0.173907
800;3562;0.219652
850;4148;0.266962
900;3780;0.261924
950;3912;0.294240
1000;4281;0.336276
1050;4444;0.368077
1100;4892;0.402673
1150;4702;0.423021
1200;5026;0.470975
1250;5250;0.505090
1300;5705;0.580627
1350;5620;0.597803
1400;6468;0.698471
1450;6412;0.729430
1500;6273;0.752678
1550;6564;0.810420
1600;7069;0.942441
1650;6841;0.961850
1700;7762;1.073743
1750;8597;1.195380
1800;7537;1.149031
1850;8821;1.322890
1900;9496;1.485962
1950;8687;1.328183
2000;9087;1.477516
2050;8428;1.443268
2100;10473;1.793577
2150;10382;1.826968
2200;9510;1.744425
2250;9672;1.828823
2300;9247;1.698989
2350;11627;2.132667
2400;10890;2.171181
2450;11203;2.153249
