tamanho;exact;approx
50;233;233
100;457;457
150;651;651
200;971;971
250;1015;1015
300;1289;1289
350;1478;1478
400;1948;1948
450;1814;1814
500;2153;2153
550;2647;2647
600;2930;2930
650;3000;3000
700;3161;3161
750;3025;3025
800;3562;3562
850;4148;4148
900;3780;3780
950;3912;3912
1000;4281;4281
1050;4444;4444
1100;4892;4892
1150;4702;4702
1200;5026;5026
1250;5250;5250
1300;5705;5705
1350;5620;5620
1400;6468;6468
1450;6412;6412
1500;6273;6273
1550;6564;6564
1600;7069;7069
1650;6841;6841
1700;7762;7762
1750;8597;8597
1800;7537;7537
1850;8821;8821
1900;9497;9496
1950;8687;8687
2000;9087;9087
2050;8428;8428
2100;10473;10473
2150;10382;10382
2200;9510;9510
2250;9672;9672
2300;9247;9247
2350;11627;11627
2400;10890;10890
2450;11203;11203
