tamanho;valor;tempo
50;233;0.000574
100;457;0.002437
150;651;0.005240
200;971;0.011843
250;1015;0.015252
300;1289;0.022608
350;1478;0.031811
400;1948;0.048784
450;1814;0.048576
500;2153;0.066037
550;2647;0.093381
600;2930;0.112689
650;3000;0.120859
700;3161;0.145456
750;3025;0.142431
800;3562;0.180258
850;4148;0.225569
900;3780;0.214836
950;3912;0.238655
1000;4281;0.275038
1050;4444;0.294605
1100;4892;0.335109
1150;4702;0.346502
1200;5026;0.385990
1250;5250;0.418825
1300;5705;0.479723
1350;5620;0.489991
1400;6468;0.580511
1450;6412;0.602470
1500;6273;0.617595
1550;6564;0.650906
1600;7069;0.754436
1650;6841;0.768900
1700;7762;0.867443
1750;8597;1.020005
1800;7537;0.927295
1850;8821;1.087571
1900;9497;1.228782
1950;8687;1.116930
2000;9087;1.202223
2050;8428;1.143061
2100;10473;1.435216
2150;10382;1.446968
2200;9510;1.382860
2250;9672;1.404311
2300;9247;1.365517
2350;11627;1.793251
2400;10890;1.676583
2450;11203;1.774144
